angle: j1: 0.286, j2: 0.278, j3: -1.314, j4: -0.515, j5: -0.597, j6: 1.5, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.286, j2: 0.278, j3: -1.314, j4: -0.515, j5: -0.597, j6: 1.571, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.286, j2: 0.278, j3: -1.314, j4: -0.515, j5: -0.597, j6: 1.5, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.286, j2: 0.278, j3: -1.314, j4: -0.515, j5: -0.597, j6: 1.4, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.286, j2: 0.278, j3: -1.314, j4: -0.515, j5: -0.597, j6: 1.3, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.286, j2: 0.278, j3: -1.314, j4: -0.515, j5: -0.597, j6: 1.2, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.286, j2: 0.278, j3: -1.314, j4: -0.515, j5: -0.597, j6: 1.1, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.286, j2: 0.278, j3: -1.314, j4: -0.515, j5: -0.597, j6: 1.0, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.286, j2: 0.278, j3: -1.314, j4: -0.515, j5: -0.597, j6: 0.9, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.286, j2: 0.278, j3: -1.314, j4: -0.515, j5: -0.597, j6: 0.8, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.286, j2: 0.278, j3: -1.314, j4: -0.515, j5: -0.597, j6: 0.7, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.286, j2: 0.278, j3: -1.314, j4: -0.515, j5: -0.597, j6: 0.6, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.286, j2: 0.278, j3: -1.314, j4: -0.515, j5: -0.597, j6: 0.5, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.286, j2: 0.278, j3: -1.314, j4: -0.515, j5: -0.597, j6: 0.4, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.286, j2: 0.278, j3: -1.314, j4: -0.515, j5: -0.597, j6: 0.3, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.286, j2: 0.278, j3: -1.314, j4: -0.515, j5: -0.597, j6: 0.2, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.286, j2: 0.278, j3: -1.314, j4: -0.515, j5: -0.597, j6: 0.1, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.286, j2: 0.278, j3: -1.314, j4: -0.515, j5: -0.597, j6: 0.0, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.286, j2: 0.278, j3: -1.314, j4: -0.515, j5: -0.597, j6: -0.1, safemode: 0, brake: 0, gripper: 1, dt: 1000
